index,disease_name,description,Possible Steps,image_url
91,Pea : Healthy,"Peas need cool temperatures and well-drained soil. Plant in full sun. Harvest pods when they reach desired size, before seeds mature.","Peas are high in protein.
They're rich in fiber.
They contain antioxidants.
They support heart health.
They may help with blood sugar.
They promote digestive health.
They're versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/pea-plant.jpg
92,Lentil : Ascochyta Blight,"Ascochyta blight is a fungal disease that affects lentils. Symptoms include brown spots on leaves, stems, and pods. The disease can cause significant yield loss.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/ascochyta-blight-lentil.jpg
93,Lentil : Healthy,"Lentils need well-drained soil and consistent moisture. Plant in full sun. Harvest when pods are dry and seeds are hard.","Lentils are high in protein.
They're rich in fiber.
They contain antioxidants.
They support heart health.
They may help with blood sugar.
They promote digestive health.
They're versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/lentil-plant.jpg
94,Chickpea : Ascochyta Blight,"Ascochyta blight is a fungal disease that affects chickpeas. Symptoms include brown spots on leaves, stems, and pods. The disease can cause significant yield loss.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/ascochyta-blight-chickpea.jpg
95,Chickpea : Healthy,"Chickpeas need well-drained soil and consistent moisture. Plant in full sun. Harvest when pods are dry and seeds are hard.","Chickpeas are high in protein.
They're rich in fiber.
They contain antioxidants.
They support heart health.
They may help with blood sugar.
They promote digestive health.
They're versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/chickpea-plant.jpg
96,Soybean : Rust,"Rust is a fungal disease that affects soybeans. Symptoms include brown pustules on leaves. The disease can cause defoliation and reduce yield.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/rust-soybean.jpg
97,Soybean : Healthy,"Soybeans need well-drained soil and consistent moisture. Plant in full sun. Harvest when pods are dry and seeds are hard.","Soybeans are high in protein.
They're rich in fiber.
They contain antioxidants.
They support heart health.
They may help with blood sugar.
They promote bone health.
They're versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/soybean-plant.jpg
98,Sunflower : Downy Mildew,"Downy mildew is a fungal disease that affects sunflowers. Symptoms include yellow to brown spots on leaves with a downy growth on the underside.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/downy-mildew-sunflower.jpg
99,Sunflower : Healthy,"Sunflowers need well-drained soil and full sun. Water consistently but avoid overwatering. Provide support for taller varieties.","Sunflowers are beautiful.
They attract pollinators.
They produce edible seeds.
They support wildlife.
They're easy to grow.
They're versatile in the garden.
They make great cut flowers.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/sunflower-plant.jpg
100,Corn : Smut,"Smut is a fungal disease that affects corn. Symptoms include large, black galls on ears, tassels, or stalks. The disease can cause significant yield loss.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/smut-corn.jpg
101,Basil : Downy Mildew,"Basil downy mildew appears as yellow to brown spots on the upper surface of leaves, with a downy, grayish-purple growth on the underside. The disease can cause significant yield loss and make basil unmarketable.","Plant resistant varieties.
Practice crop rotation.
Remove and destroy infected plants.
Use fungicides preventively.
Improve air circulation.
Avoid overhead irrigation.
Remove weeds that may harbor the disease.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/downy-mildew-basil.jpg
102,Basil : Healthy,"Basil needs warm temperatures and well-drained soil. Water consistently but avoid overwatering. Pinch back regularly to promote bushier growth. Harvest leaves as needed.","Basil is rich in antioxidants.
It has anti-inflammatory properties.
It may help with stress.
It supports digestive health.
It promotes heart health.
It's versatile in cooking.
It adds flavor to dishes.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/basil-plant.jpg
103,Mint : Rust,"Mint rust appears as orange to brown pustules on leaves. The disease can cause defoliation and reduce yield.","Use disease-free plants.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/rust-mint.jpg
104,Mint : Healthy,"Mint needs moist, well-drained soil and partial shade. Water consistently. Harvest leaves as needed, cutting back to 2 inches above the soil.","Mint has digestive benefits.
It may help with nausea.
It supports respiratory health.
It contains antioxidants.
It promotes fresh breath.
It's versatile in cooking.
It makes refreshing tea.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/mint-plant.jpg
105,Rosemary : Root Rot,"Root rot is a fungal disease that affects rosemary. Symptoms include yellowing leaves, wilting, and brown, mushy roots. The disease is favored by wet conditions.","Use well-drained soil.
Avoid overwatering.
Remove and destroy infected plants.
Improve soil drainage.
Control weeds.
Plant resistant varieties when available.
Use disease-free plants.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/root-rot-rosemary.jpg
106,Rosemary : Healthy,"Rosemary needs well-drained soil and full sun. Water sparingly. Harvest sprigs as needed, cutting back to promote bushier growth.","Rosemary has antioxidant properties.
It may improve memory.
It supports brain health.
It contains anti-inflammatory compounds.
It promotes hair growth.
It's versatile in cooking.
It makes fragrant tea.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/rosemary-plant.jpg
107,Thyme : Root Rot,"Root rot is a fungal disease that affects thyme. Symptoms include yellowing leaves, wilting, and brown, mushy roots. The disease is favored by wet conditions.","Use well-drained soil.
Avoid overwatering.
Remove and destroy infected plants.
Improve soil drainage.
Control weeds.
Plant resistant varieties when available.
Use disease-free plants.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/root-rot-thyme.jpg
108,Thyme : Healthy,"Thyme needs well-drained soil and full sun. Water sparingly. Harvest sprigs as needed, cutting back to promote bushier growth.","Thyme has antimicrobial properties.
It supports respiratory health.
It contains antioxidants.
It may help with coughs.
It promotes digestive health.
It's versatile in cooking.
It makes fragrant tea.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/thyme-plant.jpg
109,Oregano : Powdery Mildew,"Powdery mildew appears as white, powdery spots on leaves. The disease can cause defoliation and reduce yield.","Use disease-free plants.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-oregano.jpg
110,Oregano : Healthy,"Oregano needs well-drained soil and full sun. Water sparingly. Harvest leaves as needed, cutting back to promote bushier growth.","Oregano has antimicrobial properties.
It contains antioxidants.
It supports immune health.
It may help with inflammation.
It promotes digestive health.
It's versatile in cooking.
It makes fragrant tea.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/oregano-plant.jpg
111,Sage : Root Rot,"Root rot is a fungal disease that affects sage. Symptoms include yellowing leaves, wilting, and brown, mushy roots. The disease is favored by wet conditions.","Use well-drained soil.
Avoid overwatering.
Remove and destroy infected plants.
Improve soil drainage.
Control weeds.
Plant resistant varieties when available.
Use disease-free plants.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/root-rot-sage.jpg
112,Sage : Healthy,"Sage needs well-drained soil and full sun. Water sparingly. Harvest leaves as needed, cutting back to promote bushier growth.","Sage has antioxidant properties.
It may improve memory.
It supports brain health.
It contains anti-inflammatory compounds.
It promotes oral health.
It's versatile in cooking.
It makes fragrant tea.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/sage-plant.jpg
113,Lavender : Root Rot,"Root rot is a fungal disease that affects lavender. Symptoms include yellowing leaves, wilting, and brown, mushy roots. The disease is favored by wet conditions.","Use well-drained soil.
Avoid overwatering.
Remove and destroy infected plants.
Improve soil drainage.
Control weeds.
Plant resistant varieties when available.
Use disease-free plants.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/root-rot-lavender.jpg
114,Lavender : Healthy,"Lavender needs well-drained soil and full sun. Water sparingly. Harvest flowers when they begin to open.","Lavender has calming properties.
It may help with anxiety.
It supports sleep.
It contains antioxidants.
It promotes relaxation.
It's versatile in the garden.
It makes fragrant tea.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/lavender-plant.jpg
115,Marjoram : Powdery Mildew,"Powdery mildew appears as white, powdery spots on leaves. The disease can cause defoliation and reduce yield.","Use disease-free plants.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-marjoram.jpg
116,Marjoram : Healthy,"Marjoram needs well-drained soil and full sun. Water sparingly. Harvest leaves as needed, cutting back to promote bushier growth.","Marjoram has antioxidant properties.
It supports digestive health.
It contains anti-inflammatory compounds.
It may help with pain.
It promotes relaxation.
It's versatile in cooking.
It makes fragrant tea.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/marjoram-plant.jpg
117,Tarragon : Root Rot,"Root rot is a fungal disease that affects tarragon. Symptoms include yellowing leaves, wilting, and brown, mushy roots. The disease is favored by wet conditions.","Use well-drained soil.
Avoid overwatering.
Remove and destroy infected plants.
Improve soil drainage.
Control weeds.
Plant resistant varieties when available.
Use disease-free plants.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/root-rot-tarragon.jpg
118,Tarragon : Healthy,"Tarragon needs well-drained soil and full sun. Water consistently. Harvest leaves as needed, cutting back to promote bushier growth.","Tarragon has antioxidant properties.
It supports digestive health.
It contains anti-inflammatory compounds.
It may help with appetite.
It promotes sleep.
It's versatile in cooking.
It makes fragrant tea.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/tarragon-plant.jpg
119,Chives : Rust,"Rust appears as orange to brown pustules on leaves. The disease can cause defoliation and reduce yield.","Use disease-free plants.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/rust-chives.jpg
120,Chives : Healthy,"Chives need well-drained soil and full sun. Water consistently. Harvest leaves as needed, cutting back to 2 inches above the soil.","Chives are low in calories.
They're rich in vitamin K.
They contain antioxidants.
They support heart health.
They may help with blood pressure.
They promote bone health.
They add flavor to dishes.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/chives-plant.jpg
121,Dill : Downy Mildew,"Downy mildew appears as yellow to brown spots on leaves with a downy growth on the underside. The disease can cause significant yield loss.","Plant resistant varieties.
Practice crop rotation.
Remove and destroy infected plants.
Use fungicides preventively.
Improve air circulation.
Avoid overhead irrigation.
Remove weeds that may harbor the disease.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/downy-mildew-dill.jpg
122,Dill : Healthy,"Dill needs well-drained soil and full sun. Water consistently. Harvest leaves and seeds as needed.","Dill has antioxidant properties.
It supports digestive health.
It contains anti-inflammatory compounds.
It may help with sleep.
It promotes fresh breath.
It's versatile in cooking.
It adds flavor to dishes.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/dill-plant.jpg
123,Cilantro : Bacterial Leaf Spot,"Bacterial leaf spot appears as small, water-soaked spots on leaves that turn brown. The disease can cause defoliation.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/bacterial-leaf-spot-cilantro.jpg
124,Cilantro : Healthy,"Cilantro needs well-drained soil and partial shade. Water consistently. Harvest leaves as needed, before the plant bolts.","Cilantro has antioxidant properties.
It supports digestive health.
It contains anti-inflammatory compounds.
It may help with heavy metals.
It promotes heart health.
It's versatile in cooking.
It adds flavor to dishes.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/cilantro-plant.jpg
125,Parsley : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-parsley.jpg
126,Parsley : Healthy,"Parsley needs well-drained soil and partial shade. Water consistently. Harvest leaves as needed, cutting back to promote bushier growth.","Parsley is rich in vitamins K and C.
It contains antioxidants.
It supports bone health.
It may help with inflammation.
It promotes heart health.
It's versatile in cooking.
It adds flavor to dishes.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/parsley-plant.jpg
127,Chervil : Downy Mildew,"Downy mildew appears as yellow to brown spots on leaves with a downy growth on the underside. The disease can cause significant yield loss.","Plant resistant varieties.
Practice crop rotation.
Remove and destroy infected plants.
Use fungicides preventively.
Improve air circulation.
Avoid overhead irrigation.
Remove weeds that may harbor the disease.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/downy-mildew-chervil.jpg
128,Chervil : Healthy,"Chervil needs well-drained soil and partial shade. Water consistently. Harvest leaves as needed, before the plant bolts.","Chervil has antioxidant properties.
It supports digestive health.
It contains anti-inflammatory compounds.
It may help with blood pressure.
It promotes heart health.
It's versatile in cooking.
It adds flavor to dishes.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/chervil-plant.jpg
129,Borage : Powdery Mildew,"Powdery mildew appears as white, powdery spots on leaves. The disease can cause defoliation and reduce yield.","Use disease-free plants.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-borage.jpg
130,Borage : Healthy,"Borage needs well-drained soil and full sun. Water consistently. Harvest leaves and flowers as needed.","Borage has anti-inflammatory properties.
It supports skin health.
It contains gamma-linolenic acid.
It may help with hormones.
It promotes heart health.
It's versatile in the garden.
It attracts pollinators.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/borage-plant.jpg
131,Lemon Balm : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Use disease-free plants.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-lemon-balm.jpg
132,Lemon Balm : Healthy,"Lemon balm needs well-drained soil and partial shade. Water consistently. Harvest leaves as needed, cutting back to promote bushier growth.","Lemon balm has calming properties.
It may help with anxiety.
It supports sleep.
It contains antioxidants.
It promotes relaxation.
It's versatile in the garden.
It makes fragrant tea.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/lemon-balm-plant.jpg
133,Lovage : Downy Mildew,"Downy mildew appears as yellow to brown spots on leaves with a downy growth on the underside. The disease can cause significant yield loss.","Plant resistant varieties.
Practice crop rotation.
Remove and destroy infected plants.
Use fungicides preventively.
Improve air circulation.
Avoid overhead irrigation.
Remove weeds that may harbor the disease.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/downy-mildew-lovage.jpg
134,Lovage : Healthy,"Lovage needs well-drained soil and full sun. Water consistently. Harvest leaves and stems as needed.","Lovage has antioxidant properties.
It supports digestive health.
It contains anti-inflammatory compounds.
It may help with bloating.
It promotes kidney health.
It's versatile in cooking.
It adds flavor to dishes.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/lovage-plant.jpg
135,Sorrel : Rust,"Rust appears as orange to brown pustules on leaves. The disease can cause defoliation and reduce yield.","Use disease-free plants.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/rust-sorrel.jpg
136,Sorrel : Healthy,"Sorrel needs well-drained soil and partial shade. Water consistently. Harvest leaves as needed, cutting back to promote bushier growth.","Sorrel is rich in vitamin C.
It contains antioxidants.
It supports immune health.
It may help with inflammation.
It promotes heart health.
It's versatile in cooking.
It adds tangy flavor to dishes.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/sorrel-plant.jpg
137,Summer Savory : Root Rot,"Root rot is a fungal disease that affects summer savory. Symptoms include yellowing leaves, wilting, and brown, mushy roots. The disease is favored by wet conditions.","Use well-drained soil.
Avoid overwatering.
Remove and destroy infected plants.
Improve soil drainage.
Control weeds.
Plant resistant varieties when available.
Use disease-free plants.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/root-rot-summer-savory.jpg
138,Summer Savory : Healthy,"Summer savory needs well-drained soil and full sun. Water sparingly. Harvest leaves as needed, cutting back to promote bushier growth.","Summer savory has antioxidant properties.
It supports digestive health.
It contains anti-inflammatory compounds.
It may help with appetite.
It promotes heart health.
It's versatile in cooking.
It adds flavor to dishes.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/summer-savory-plant.jpg
139,Winter Savory : Root Rot,"Root rot is a fungal disease that affects winter savory. Symptoms include yellowing leaves, wilting, and brown, mushy roots. The disease is favored by wet conditions.","Use well-drained soil.
Avoid overwatering.
Remove and destroy infected plants.
Improve soil drainage.
Control weeds.
Plant resistant varieties when available.
Use disease-free plants.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/root-rot-winter-savory.jpg
140,Winter Savory : Healthy,"Winter savory needs well-drained soil and full sun. Water sparingly. Harvest leaves as needed, cutting back to promote bushier growth.","Winter savory has antioxidant properties.
It supports digestive health.
It contains anti-inflammatory compounds.
It may help with appetite.
It promotes heart health.
It's versatile in cooking.
It adds flavor to dishes.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/winter-savory-plant.jpg
141,Hyssop : Rust,"Rust appears as orange to brown pustules on leaves. The disease can cause defoliation and reduce yield.","Use disease-free plants.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/rust-hyssop.jpg
142,Hyssop : Healthy,"Hyssop needs well-drained soil and full sun. Water sparingly. Harvest leaves and flowers as needed.","Hyssop has antioxidant properties.
It supports respiratory health.
It contains anti-inflammatory compounds.
It may help with coughs.
It promotes digestive health.
It's versatile in the garden.
It attracts pollinators.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/hyssop-plant.jpg
143,Bergamot : Powdery Mildew,"Powdery mildew appears as white, powdery spots on leaves. The disease can cause defoliation and reduce yield.","Use disease-free plants.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-bergamot.jpg
144,Bergamot : Healthy,"Bergamot needs well-drained soil and full sun. Water consistently. Harvest leaves and flowers as needed.","Bergamot has antioxidant properties.
It supports immune health.
It contains anti-inflammatory compounds.
It may help with stress.
It promotes relaxation.
It's versatile in the garden.
It attracts pollinators.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/bergamot-plant.jpg
145,Costmary : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Use disease-free plants.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-costmary.jpg
146,Costmary : Healthy,"Costmary needs well-drained soil and full sun. Water consistently. Harvest leaves as needed.","Costmary has antioxidant properties.
It supports digestive health.
It contains anti-inflammatory compounds.
It may help with fever.
It promotes wound healing.
It's versatile in the garden.
It has mint-like flavor.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/costmary-plant.jpg
147,Lemon Grass : Rust,"Rust appears as orange to brown pustules on leaves. The disease can cause defoliation and reduce yield.","Use disease-free plants.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/rust-lemon-grass.jpg
148,Lemon Grass : Healthy,"Lemon grass needs well-drained soil and full sun. Water consistently. Harvest stalks as needed, cutting back to promote bushier growth.","Lemon grass has antioxidant properties.
It supports digestive health.
It contains anti-inflammatory compounds.
It may help with anxiety.
It promotes relaxation.
It's versatile in cooking.
It makes fragrant tea.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/lemon-grass-plant.jpg
149,Lemon Verbena : Powdery Mildew,"Powdery mildew appears as white, powdery spots on leaves. The disease can cause defoliation and reduce yield.","Use disease-free plants.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-lemon-verbena.jpg
150,Lemon Verbena : Healthy,"Lemon verbena needs well-drained soil and full sun. Water consistently. Harvest leaves as needed, cutting back to promote bushier growth.","Lemon verbena has antioxidant properties.
It supports digestive health.
It contains anti-inflammatory compounds.
It may help with sleep.
It promotes relaxation.
It's versatile in the garden.
It makes fragrant tea.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/lemon-verbena-plant.jpg
151,Rose : Black Spot,"Black spot is a fungal disease that affects roses. Symptoms include circular black spots with fringed edges on leaves, which eventually turn yellow and fall off. The disease can cause significant defoliation and weaken the plant.","Plant resistant varieties.
Practice good sanitation by removing fallen leaves.
Improve air circulation through proper pruning.
Avoid overhead watering.
Apply fungicides preventively.
Remove and destroy infected leaves.
Maintain proper spacing between plants.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/black-spot-rose.jpg
152,Rose : Powdery Mildew,"Powdery mildew appears as white, powdery spots on leaves, buds, and stems. The disease can cause distorted growth and reduced flowering.","Plant resistant varieties.
Improve air circulation.
Remove and destroy infected parts.
Apply fungicides when necessary.
Avoid overhead watering.
Maintain proper spacing.
Prune for better air flow.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-rose.jpg
153,Rose : Healthy,"Roses need well-drained soil, full sun, and consistent moisture. Prune regularly to promote healthy growth and flowering.","Roses are beautiful ornamental plants.
They produce fragrant flowers.
They attract pollinators.
They come in many colors.
They're versatile in landscaping.
They make great cut flowers.
They have cultural significance.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/rose-plant.jpg
154,Hydrangea : Leaf Spot,"Leaf spot appears as brown spots with purple borders on leaves. The disease can cause defoliation and reduce plant vigor.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-hydrangea.jpg
155,Hydrangea : Healthy,"Hydrangeas need partial shade, moist soil, and protection from harsh sun. Prune according to variety type.","Hydrangeas produce large flower clusters.
They come in many colors.
They're shade tolerant.
They attract pollinators.
They're versatile in landscaping.
They make great cut flowers.
They have cultural significance.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/hydrangea-plant.jpg
156,Azalea : Petal Blight,"Petal blight causes brown spots on flowers that quickly spread. The disease can ruin the entire bloom.","Remove and destroy infected flowers.
Improve air circulation.
Avoid overhead watering.
Apply fungicides preventively.
Plant resistant varieties.
Maintain proper spacing.
Clean up fallen petals.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/petal-blight-azalea.jpg
157,Azalea : Healthy,"Azaleas need acidic soil, partial shade, and consistent moisture. Prune after flowering.","Azaleas produce vibrant spring flowers.
They're shade tolerant.
They come in many colors.
They attract pollinators.
They're versatile in landscaping.
They make great foundation plants.
They have cultural significance.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/azalea-plant.jpg
158,Camellia : Dieback,"Dieback causes sudden wilting and death of branches. The disease can spread quickly through the plant.","Prune out infected branches.
Improve air circulation.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Plant resistant varieties.
Clean up fallen leaves.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/dieback-camellia.jpg
159,Camellia : Healthy,"Camellias need acidic soil, partial shade, and protection from harsh sun. Prune after flowering.","Camellias produce elegant winter flowers.
They're shade tolerant.
They come in many colors.
They attract pollinators.
They're versatile in landscaping.
They make great foundation plants.
They have cultural significance.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/camellia-plant.jpg
160,Gardenia : Sooty Mold,"Sooty mold appears as black, powdery coating on leaves. The disease is often associated with insect infestations.","Control insect pests.
Improve air circulation.
Remove and destroy infected leaves.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Clean up fallen leaves.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/sooty-mold-gardenia.jpg
161,Gardenia : Healthy,"Gardenias need acidic soil, partial shade, and consistent moisture. Prune after flowering.","Gardenias produce fragrant white flowers.
They're shade tolerant.
They have glossy leaves.
They attract pollinators.
They're versatile in landscaping.
They make great container plants.
They have cultural significance.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/gardenia-plant.jpg
162,Jasmine : Rust,"Rust appears as orange to brown pustules on leaves. The disease can cause defoliation.","Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/rust-jasmine.jpg
163,Jasmine : Healthy,"Jasmine needs well-drained soil, full sun to partial shade, and support for climbing varieties.","Jasmine produces fragrant flowers.
It comes in many varieties.
It attracts pollinators.
It's versatile in landscaping.
It makes great climbing plants.
It has cultural significance.
It's used in perfumery.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/jasmine-plant.jpg
164,Lilac : Powdery Mildew,"Powdery mildew appears as white, powdery spots on leaves. The disease can cause distorted growth.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-lilac.jpg
165,Lilac : Healthy,"Lilacs need well-drained soil, full sun, and regular pruning. Remove spent flowers.","Lilacs produce fragrant spring flowers.
They come in many colors.
They attract pollinators.
They're versatile in landscaping.
They make great hedges.
They have cultural significance.
They're cold hardy.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/lilac-plant.jpg
166,Forsythia : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-forsythia.jpg
